  AT3G46010.1 AT3G46010.2 AT3G46000.1 AT5G59880.1 AT5G59880.2 AT5G59890.1 AT5G59890.2 AT2G16700.1 AT2G16700.2 AT2G31200.1 AT4G25590.1 AT4G00680.1 AT4G34970.1 AT1G01750.1 AT5G52360.1
SAMN00115751_TPM 48.163308 0.000000 15.863139 26.598129 0.000000 9.297929 0.000000 0.000000 1.752706 1.826606 0.000000 0.000000 0.343977 2.949318 0.000000
SAMN00115752_TPM 15.939804 1.571894 9.343084 27.807691 0.000000 11.592669 0.000000 0.000000 0.000000 0.752798 0.000000 0.000000 0.738349 0.607750 0.157711
SAMN00115753_TPM 41.531733 0.000000 13.016136 21.054210 0.000000 4.523335 13.511354 0.000000 1.735732 1.755714 0.126781 0.656825 0.150285 3.711079 0.053501
SAMN00115754_TPM 37.156088 0.468499 17.861790 20.158399 0.000000 2.881856 19.976868 0.000000 0.334903 2.333473 0.000000 0.055960 1.971788 2.125384 0.200559
SAMN00115755_TPM 38.760140 0.000000 25.917355 28.984495 0.000000 7.715457 40.785648 0.433002 1.376180 7.380673 0.340847 0.917330 0.038480 2.929799 0.082193
SAMN00115758_TPM 18.907352 0.000000 6.728415 11.213330 0.000000 7.745770 6.800849 0.000000 1.600975 0.539047 0.305837 0.000000 0.000000 3.481474 0.258126
SAMN00115759_TPM 40.767996 0.000000 16.765379 25.883158 0.000000 14.104322 8.176154 0.000000 0.194272 1.670320 0.603071 0.056807 2.811848 1.569147 0.508992
SAMN00115760_TPM 51.161590 0.398697 30.818752 43.598447 0.000000 9.073312 64.032805 4.010818 0.000000 5.408382 0.000000 0.219925 0.553520 1.850934 0.000000
SAMN00115917_TPM 153.123645 0.000000 243.062620 0.000000 291.951874 248.559997 0.000000 0.000000 91.757298 126.226508 0.000000 0.000000 18.007799 0.000000 0.000000
SAMN00115918_TPM 45.048697 0.000000 581.007214 0.000000 483.140868 0.000000 152.372973 0.000000 107.979320 202.557867 0.000000 0.000000 0.000000 0.000000 0.000000
SAMN00115921_TPM 240.681392 0.000000 373.575592 466.808418 0.000000 22.067864 151.422530 58.681463 0.000000 66.910502 0.000000 93.596778 12.782837 96.763224 0.000000
SAMN00115922_TPM 245.123849 0.000000 297.632636 430.551387 0.000000 0.000000 123.747510 44.731622 0.000000 60.318297 0.000000 35.899668 21.512910 84.111747 0.000000
SAMN00765113_TPM 131.279990 51.605244 138.998093 306.426632 0.000000 100.667454 1.736567 24.854960 0.000000 41.687662 0.000000 0.967472 22.564206 1.670241 0.000000
SAMN00765114_TPM 130.820579 51.374827 134.690618 318.245114 0.000000 105.733953 0.710477 22.587118 0.000000 41.636146 0.000000 0.606085 19.067836 3.662200 0.000000
SAMN00765115_TPM 118.579653 60.319795 138.074260 251.735759 0.000000 117.574199 1.165844 44.451738 0.000000 46.753892 23.805907 0.203857 15.392379 4.399235 30.138278
SAMN00765116_TPM 135.623683 37.065739 118.186326 298.426499 0.000000 132.560095 1.651416 29.899150 0.000000 42.096181 34.480356 0.158435 18.741666 5.196926 35.915411
SAMN00765117_TPM 133.942006 38.303645 129.094980 292.762825 0.000000 129.852932 1.065067 29.694630 3.521749 45.068217 20.299803 0.000000 14.926190 5.023508 22.794384
SAMN00778812_TPM 197.781877 0.811112 231.575922 396.928564 0.000000 287.861443 1.223428 97.593746 0.661797 81.570517 1.389456 2.755405 3.929806 1.605462 0.925816
SAMN00778813_TPM 191.002741 0.256077 224.905369 365.062549 0.000000 294.474094 0.921641 97.646296 3.767750 83.256348 2.409700 2.214489 3.111897 2.246064 2.777856
SAMN00778814_TPM 194.848392 0.280787 227.842186 359.221733 0.000000 277.487322 1.607103 92.786167 3.041975 85.701087 0.220445 1.384343 2.903491 1.613200 0.868260
SAMN00792937_TPM 101.853246 53.231912 88.737212 402.942937 0.000000 163.997330 0.000000 14.740590 0.000000 36.772319 0.000000 0.619675 2.079509 0.356602 0.000000
SAMN00792941_TPM 118.975275 33.454054 89.918452 387.018630 0.000000 156.058483 0.821709 12.513992 0.000000 38.564729 0.000000 0.720646 1.934679 0.311030 0.000000
SAMN00854897_TPM 162.105744 13.292958 115.506872 207.597529 0.000000 98.937380 1.222264 12.429450 24.264392 27.202265 28.092227 0.000000 9.564990 4.677719 24.592653
SAMN00990538_TPM 102.083386 42.493500 103.560085 324.710787 0.000000 146.019549 0.000000 22.119568 5.516905 41.367061 0.000000 0.372012 0.416134 0.963361 0.000000
SAMN00998784_TPM 4.390482 0.722137 1.504543 6.933027 0.000000 2.276134 0.000000 0.686412 0.000000 0.398356 0.023266 0.000000 0.137898 0.085130 0.019637
SAMN00998785_TPM 118.830931 14.322580 88.724568 254.437401 0.000000 111.902846 0.474583 21.892865 0.000000 43.968050 0.000000 0.822438 3.745636 0.912764 0.000000
SAMN00998786_TPM 110.662133 41.534096 107.560496 347.647574 0.000000 158.010428 1.052960 16.138190 10.382365 54.140349 0.000000 16.388327 3.877925 13.058195 0.000000
SAMN00998787_TPM 56.982022 27.774809 139.282339 311.004396 0.000000 138.900107 0.594908 30.255319 0.000000 40.534194 0.000000 2.760700 33.996937 5.191606 0.000000
SAMN01086884_TPM 135.830804 0.000000 105.473487 343.357581 0.000000 0.792137 234.336816 9.230978 0.000000 26.132252 0.000000 43.411092 20.945794 35.353594 0.000000
SAMN01086885_TPM 138.714285 0.000000 99.342269 313.445067 0.000000 2.194158 313.776685 7.067583 0.000000 34.772616 0.000000 34.850424 12.463121 50.912075 0.000000
SAMN01086886_TPM 150.022956 0.000000 89.177163 356.803528 0.000000 0.000000 356.264525 7.707525 0.000000 35.535262 0.000000 44.488097 11.369578 35.651593 0.000000
SAMN01129890_TPM 81.637239 0.000000 58.724944 390.790527 0.000000 80.145260 0.000000 24.213679 0.000000 37.433107 0.000000 0.308458 2.846594 0.266260 0.000000
SAMN01141735_TPM 71.318245 0.000000 61.590871 283.595456 0.000000 104.174028 0.000000 17.429969 0.000000 25.596189 0.000000 0.301123 7.326203 0.519858 0.000000
SAMN01757913_TPM 129.107737 41.202882 99.017732 183.208927 0.000000 50.320841 0.000000 94.609377 32.872904 11.026013 0.000000 4.465109 3.032484 12.755816 0.000000
SAMN01757914_TPM 77.605097 0.000000 19.970428 153.309907 0.000000 7.095316 2.769284 75.610998 0.000000 5.238542 0.000000 1.360956 1.522367 5.247327 0.000000
SAMN01760485_TPM 151.789709 0.000000 109.539578 348.272638 0.000000 159.871210 1.683333 31.795373 0.000000 66.289247 0.000000 22.490995 1.737920 18.520117 0.000000
SAMN01760489_TPM 188.158098 0.283502 188.168699 452.702308 0.000000 277.468616 0.826126 38.497795 1.506250 134.971306 0.000000 2.000544 10.237990 2.762986 0.000000
SAMN01760490_TPM 32.526801 0.000000 53.366201 125.616975 0.000000 99.370162 0.251058 6.165744 0.000000 54.042234 0.000000 0.471272 0.197687 0.813603 0.000000
SAMN01760491_TPM 186.168496 0.186640 124.408106 333.060062 0.000000 116.511091 0.335290 28.955593 0.618234 42.604087 0.000000 3.404473 3.439083 3.958298 0.000000
SAMN01760495_TPM 182.076226 0.000000 79.165016 392.023619 0.000000 95.399577 1.038992 50.197500 0.000000 71.687245 0.070894 5.676271 2.689194 3.516290 0.000000
SAMN01760496_TPM 21.890852 0.000000 27.433186 110.212756 0.208823 65.010816 1.288226 12.249408 0.000000 70.312839 0.000000 1.825729 0.530203 1.030439 0.000000
SAMN01760499_TPM 187.498320 0.214207 147.272641 472.238803 0.000000 172.852827 0.140761 44.775438 0.000000 58.528324 0.000000 24.846370 8.290583 19.497590 0.000000
SAMN01760504_TPM 202.969494 0.209879 135.084832 351.630281 0.000000 129.444476 0.000000 58.222048 0.269584 68.731145 0.000000 11.582996 12.252588 12.482505 0.000000
SAMN01779495_TPM 91.210852 70.331296 112.068464 352.459890 0.000000 119.432143 0.264104 19.736577 0.000000 32.732550 0.000000 25.891080 7.924100 28.296122 0.000000
SAMN01796012_TPM 129.301108 108.118968 101.345474 322.920919 0.000000 159.866537 0.000000 48.618063 0.000000 44.384640 0.404304 1.142519 11.502215 0.986221 0.341232
SAMN01821945_TPM 198.806521 0.000000 131.431466 438.109365 0.000000 1.880738 202.885049 10.092428 0.000000 57.116304 0.000000 26.964871 19.273704 44.191913 0.000000
SAMN01831158_TPM 128.990271 1.091637 100.951547 298.322240 0.191478 178.183273 5.968084 29.937224 0.525115 43.401995 0.000000 4.523275 10.730145 4.846945 0.000000
SAMN01831497_TPM 113.776047 0.000000 71.068492 275.206333 0.000000 130.758257 0.847649 24.218759 0.000000 49.068811 0.000000 23.210113 4.831287 24.343230 0.000000
SAMN01831498_TPM 119.312310 0.249033 69.236716 265.011443 0.000000 125.242378 0.626239 22.501080 0.176495 46.145405 0.000000 23.426949 5.191434 26.613394 0.000000
SAMN01831499_TPM 147.843598 0.912904 122.364744 252.479973 0.000000 125.241694 0.932654 28.585459 0.000000 48.368439 0.000000 28.696504 8.174708 27.691625 0.000000
SAMN01907027_TPM 135.348360 0.491042 104.834618 323.727298 0.000000 127.625804 0.000000 27.882777 0.740322 43.518234 0.000000 9.341260 1.919232 9.873504 0.000000
SAMN01907028_TPM 143.040604 0.000000 107.401147 314.644677 0.427813 131.201924 0.453447 31.806947 1.338739 41.381097 0.000000 7.885314 1.350081 10.001522 0.000000
SAMN01907029_TPM 138.493248 0.467843 101.141220 312.217204 0.000000 121.739347 0.453055 29.218498 0.452611 38.149057 0.000000 6.984893 2.534047 10.918009 0.000000
SAMN01907033_TPM 115.602470 0.000000 70.578055 312.643312 0.000000 81.549914 0.000000 15.326867 3.325952 32.928334 0.000000 4.888383 3.691004 5.063573 0.000000
SAMN01907034_TPM 118.153201 0.000000 62.672037 318.169959 0.000000 95.211148 0.000000 16.181204 0.000000 29.417393 0.000000 3.279712 4.433003 5.662085 0.000000
SAMN01907035_TPM 114.142745 0.000000 65.241811 317.851386 0.000000 90.306757 0.000000 17.490331 0.000000 29.569021 0.000000 5.596836 3.314452 9.093987 0.000000
SAMN01907036_TPM 155.780714 1.202188 112.841586 266.135487 0.000000 102.290965 0.000000 22.185113 0.000000 31.345271 0.000000 6.583292 3.624509 9.234368 0.000000
SAMN01907037_TPM 150.562555 0.000000 120.763476 278.802806 0.000000 106.094659 0.000000 22.836027 0.843241 30.596603 0.000000 5.744480 5.354821 6.611501 0.000000
SAMN01907038_TPM 170.904647 0.590617 127.540796 270.023777 0.000000 109.400075 0.000000 27.529428 0.000000 32.955263 0.000000 5.904597 4.557376 6.116207 0.000000
SAMN01907039_TPM 183.768294 0.657253 148.240360 262.883952 0.000000 109.107379 0.000000 28.434922 0.000000 34.313351 0.000000 7.309250 3.640937 7.886666 0.000000
SAMN01907040_TPM 176.495334 0.674752 135.845006 267.539964 0.000000 109.637131 0.755303 29.628900 0.000000 38.228459 0.000000 5.914170 3.382978 8.353805 0.000000
SAMN01907041_TPM 186.187775 0.419909 147.257879 275.309657 0.000000 111.837661 0.000000 26.292588 0.477581 36.142048 0.000000 9.318984 3.269418 9.067931 0.000000
SAMN01907042_TPM 147.080009 0.000000 115.819303 308.821988 0.000000 103.498953 0.000000 28.002619 0.000000 36.297557 0.000000 7.461085 2.086496 9.231236 0.000000
SAMN01907043_TPM 151.585321 0.562891 120.416882 308.511703 0.000000 120.994180 0.528264 26.401464 0.546908 40.728041 0.000000 8.772617 1.743110 9.764552 0.000000
SAMN01907044_TPM 137.076788 0.000000 113.143486 294.498468 0.000000 112.072585 0.000000 26.843454 0.000000 33.180602 0.000000 7.836553 2.366815 9.470301 0.000000
SAMN01907045_TPM 148.809286 0.630696 137.169075 392.626922 0.000000 136.091724 0.000000 32.787065 0.000000 50.880475 0.000000 7.854144 6.783046 10.568333 0.000000
SAMN01907046_TPM 147.728995 0.000000 125.534989 391.903341 0.000000 144.421008 0.000000 37.094756 0.000000 51.561287 0.000000 6.651533 9.114510 10.143481 0.000000
SAMN01907047_TPM 151.852751 0.000000 132.493354 400.852494 0.000000 140.795874 0.000000 30.463507 2.969177 52.350321 0.000000 7.331144 5.271834 6.554241 0.000000
SAMN01907048_TPM 144.965980 0.595334 115.808337 348.313635 0.000000 143.568641 0.000000 30.393616 2.788983 44.227772 0.000000 3.885093 5.368430 5.720858 0.000000
SAMN01907049_TPM 139.673137 0.000000 103.618491 319.172154 0.000000 124.351997 0.683281 29.759800 0.750846 40.668551 0.000000 6.235408 8.160678 9.903606 0.000000
